COURSE CODE,SECTION,TIME,DAY,ROOM,PROFESSOR
MATH15,AT3,4:30 PM - 7:30 PM,F,MKT203,
MATH15L,BT4,12:00 PM - 4:30 PM,Th,MKT103,
CS135,AT2,7:30AM-10:30AM,TH,MKT304,
IT180P,M-T,12:00PM-9:00PM,Th,MKT106,Prof.Tomas
CS133,BT2,01:30PM-3:00Pm,MWF,MKT318,PROF SAMONTE
CS154,CT1,06:00PM - 7:30PM,MW,MKT109,
HUM13,AC3,12:00 PM - 1:30 PM,MWF,MKT109,
ENG13,AY01,09:00AM-10:30AM,MWF,MKT320,
MATH30,AT2,1:30PM - 3:00PM,M-W-F,MKT305,
CS130,AT3,07:30AM-10:30AM,Th,MKT109,
PHY11-1,BC3,12:00PM-1:30PM,MWF,MKT319,
CS135L,CT1,4:30PM - 9:00PM,Th,MKT204,
IT137L,AT2,7:30AM-12:00PM,Th,MKT105,
IT152L,BT4,12:00 NN-04:30 PM,TH,MKT201,
CS135,CT2,06:00PM-09:00PM,T,MKT111,
IT154L,AC2,12:00pm - 4:30pm,M,MKT204,
IT154,CT3,06:00 PM - 09:00 PM,S,MKT111,
IT181P,AT2,7:20am - 4:30pm,Th,MKT302,
IT137L,BT1,12:00PM-4:30PM,T,MKT104,
IT181P,AT1,7:30AM-4:30PM,T,MKT109,
SS11,AC2,3:00PM - 4:30PM,MWF,MKT109,
PHY10-1L,BT2,12:00 NN - 04:30 PM,TH,MKT324,
MATH30,AT2,1:30PM - 3:00PM,M-W-F,MKT305,
NSTP13,M-03,7:30AM - 12:00PM,Su,MKT109,
CS133,BT1,12:00PM-1:30PM,MWF,MKT304,
MATH22,AC3,12:00 NN - 01:30 PM,MWF,MKT307,
CS191P,BT1,12:00 NN - 04:30 PM,S,MKT104,
CS191P,BT1,07:30 AM - 10:30 AM,TH,MKT303,
CS141,AC1,09:00 AM-10:30 AM,MWF,MKT319,PROF. CAMUS
BIO106L,AC2,12:00 PM-04:30 PM,F,MKT211,PROF. MEDINA
