COURSE CODE,COURSE TITLE,UNITS,TUITION FEE,LFD FEE
ACT111,BUSINESS ACCOUNTING,3,5190,1537
BIO106L,BioInformaticcs Lab,1,1730,2624
CS126,PROGRAMMING 1,3,5190,1537
CS127,PROGRAMMING 2,2,5190,1537
CS130,HTML,2,3460,0
CS130L,HTML(LAB),1,1730,2624
CS133,DATA STRUCTURE,3,5190,0
CS135,OBJECT ORIENTED PROGRAMMING,2,3460,0
CS135L,OBJECT ORIENTED LABORATORY,1,1730,2624
CS137,Discrete MAthematics,3,5190,1537
CS141,ANALYSIS OF ALGORITHM,3,5190,0
CS150,KNOWLEDGE MANAGEMENT,3,4899,0
CS152,HUMAN COMPUTER INTERACTION,3,5190,1537
CS153L,Computer Organization and Assembly Language,1,5190,1537
CS154,INFORMATION SECURITY,3,5190,1537
CS155P,3D MODELLING,3,5190,1537
CS162P,CISCO NETWORKING PROTOCOL 2,3,5190,1537
CS190P,JAVA PROGRAMMING,3,5190,1537
CS191P,Java Programming 2,3,5190,1537
CS192P,JAVA PROGRAMMING 3,3,5190,2624
CS200,Thesis 2,2,5190,1537
CS220,ADVANCE DATABASE MANAGEMENT,2,5190,1537
CS220L,ADVANCE DATABASE MANAGMENT LABORATORY,1,5190,1537
ENG13,English 13,3,5190,0
HUM10,Readings in Oriental Thought,3,5190,0
HUM11,MEDIEVAL THOUGHT,3,5190,0
HUM13,ART APPRECIATION,3,5190,0
HUM14,Introduction to Philosophy,3,5190,0
HUM15,World Literature,3,5190,0
HUM17,LOGIC AND CRITICAL THINKING,3,5190,0
IT104,Advanced Data Management,3,5190,1537
IT131,Database Management,2,3460,0
IT131L,DATABASE MANAGEMENT LABORATORY,1,1730,2624
IT134,INFORMATION SYSTEMS,3,5190,1537
IT136F,IT SEMINAR,1,5190,1537
IT137,MULTIMEDIA LEC,2,3460,0
IT137L,MULTIMEDIA LAB,1,1730,2624
IT139,PROJECT MANAGEMENT,3,5190,1537
IT145,ETHICS,3,5190,1537
IT150,COMPUTER ORGANIZATION AND ARCHITECTURE,2,3450,0
IT152L,PC TROUBLESHOOTING AND REPAIR LAB,1,1730,1451
IT153L,Assembly Language,1,5190,1537
IT154,OS,2,3460,0
IT154L,OS,1,1730,2624
IT160,LOGIC CIRCUITS LEC,2,5190,1537
IT160L,LOGIC CIRCUITS LAB,1,5190,1537
IT171,FUNDAMENTALS OF SAP,3,5190,1537
IT180P,Unix,3,5190,1537
IT181P,UNIX2,3,5190,1537
IT183P,HP-UNIX 4,3,5190,1537
IT184L,CISCO 1,2,5190,1537
IT191P,MICROSOFT .NET TECHNOLOGY 2,3,5190,1537
IT199R,OJT1,3,5190,1537
MATH 30,STAT,3,5190,1537
MATH10,Algebra,3,5190,1537
MATH15,Linear Algebra,3,5190,1537
Math15L,MATLAB,1,5190,1537
MATH15-L,LINEAR ALGEBRA LABORATORY,1,5190,1537
MATH21,CALCULUS 1,3,5190,1537
MATH22,Calculus 2,3,5190,1537
MATH30,Statistics,3,5190,1537
MGT109,Accounting,3,5190,1537
MGT1091,Accounting,3,5190,1537
MGT109-1,Principles of Accounting,3,5190,1537
NSTP13,CWTS,1,5190,1537
PHY10,Physics 1,3,5190,1537
PHY10-1,Physics 1,3,5190,0
PHY10-1L,Physics 1,1,5190,1537
PHY102,College Physics 2,2,5190,1537
PHY11-1,PHYSICS 2,3,5190,0
PHY11-1L,College Physics 2 Laboratory,1,1730,1451
RES100-3,Research,3,5190,1537
SS10,PHILIPPINE POLITICS AND GOVERNANCE,3,5190,0
SS11,Sociology with Population,3,5190,0
SS12,Eonomics,3,5190,0
SS14,PhilHistory,3,5190,0
SS15,Current Issues,3,5190,0
UNIX2,HP UNIX 2,3,5190,1537
